election_jurisdiction,election_year,party,party_committee,contributor,type_of_contributor,specific_business,general_industry,broad_sector,parent_org_or_employer,number_of_records,dollar_amount
NY,2006,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,SUFFOLK COUNTY SHERIFFS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,300
NY,2006,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,DETECTIVE INVESTIGATORS ASSOCIATION OF THE DISTRIC,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,300
OH,2009,Democratic,OHIO DEMOCRATIC PARTY,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,300
OH,2010,Democratic,OHIO DEMOCRATIC PARTY,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,300
VA,2004,Democratic,VIRGINIA DEMOCRATIC PARTY,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,300
WI,2000,Republican,CMTE TO ELECT A REPUBLICAN SENATE OF WISCONSIN,MILWAUKEE POLICE SUPERVISORS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,300
LA,2003,Democratic,SENATE DEMOCRATIC CAMPAIGN CMTE OF LOUISIANA,LOUISIANA UNION OF POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,275
AK,2007,Democratic,ALASKA SENATE DEMOCRATIC CAMPAIGN CMTE,PUBLIC SAFETY EMPLOYEE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
AZ,2008,Democratic,ARIZONA DEMOCRATIC PARTY,PHOENIX POLICE SERGEANTS & LIEUTENANTS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
AZ,2008,Democratic,ARIZONA DEMOCRATIC PARTY,MESA POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
AZ,2008,Democratic,ARIZONA DEMOCRATIC PARTY,CHANDLER LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
AZ,2008,Republican,ARIZONA REPUBLICAN PARTY,PHOENIX POLICE SERGEANTS & LIEUTENANTS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,250
AZ,2008,Republican,ARIZONA REPUBLICAN PARTY,CHANDLER LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,250
CA,2000,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
CO,2000,Republican,COLORADO REPUBLICAN PARTY,DENVER POLICE PROTECTIVE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
CO,2002,Republican,COLORADO REPUBLICAN PARTY,DENVER POLICE PROTECTIVE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
CT,2001,Democratic,HOUSE DEMOCRATS CAMPAIGN CMTE OF CONNECTICUT,STAMFORD POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
CT,2001,Democratic,SENATE DEMOCRATS VICTORY PAC OF CONNECTICUT,STAMFORD POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
CT,2001,Republican,SENATE REPUBLICAN VISION 21 OF CONNECTICUT,CONNECTICUT STATE POLICE UNION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,1,250
CT,2003,Democratic,CONNECTICUT DEMOCRATIC PARTY,FRIENDS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
DE,2000,Republican,DELAWARE REPUBLICAN PARTY,DELAWARE STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
DE,2005,Republican,DELAWARE REPUBLICAN PARTY,WILMINGTON POLICE & FIRE PENSION TASK FORCE,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,1,250
DE,2009,Democratic,DELAWARE DEMOCRATIC PARTY,FRATERNAL ORDER OF POLICE WILMINGTON LODGE 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
DE,2012,Democratic,DELAWARE DEMOCRATIC PARTY,FRATERNAL ORDER OF POLICE WILMINGTON LODGE 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
DE,2013,Democratic,DELAWARE DEMOCRATIC PARTY,FRATERNAL ORDER OF POLICE LODGE 10,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
DE,2013,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF DELAWARE,DELAWARE STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
DE,2015,Democratic,DELAWARE DEMOCRATIC PARTY,FRATERNAL ORDER OF POLICE WILMINGTON LODGE 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
DE,2016,Democratic,DELAWARE DEMOCRATIC PARTY,FRATERNAL ORDER OF POLICE WILMINGTON LODGE 1,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
FL,2000,Democratic,FLORIDA DEMOCRATIC PARTY,JACKSONVILLE FRATERNAL ORDER OF POLICE LODGE 5-30,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
ID,2018,Republican,IDAHO REPUBLICAN PARTY,IDAHO SATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
ID,2019,Republican,IDAHO REPUBLICAN PARTY,IDAHO SATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
IL,2000,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2001,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,POLICEMENS BENEVOLENT & PROTECTIVE ASSOCIATION OF ILLINOIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2003,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2004,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2004,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2006,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CONSERVATION POLICE LODGE 146,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2007,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2009,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2009,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2009,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2010,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2010,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,ILLINOIS FRATERNAL ORDER OF POLICE LABOR COUNCIL,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2013,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CONSERVATION POLICE LODGE 146,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2013,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
IL,2014,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CONSERVATION POLICE LODGE 146,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2015,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CONSERVATION POLICE LODGE 146,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2015,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CONSERVATION POLICE LODGE 146,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2016,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2016,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS,CONSERVATION POLICE LODGE 146,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2017,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
IL,2018,Democratic,ILLINOIS SENATE DEMOCRATIC VICTORY FUND,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
IL,2018,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,ILLINOIS ASSOCIATION CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
IL,2019,Republican,REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS,CHICAGO FRATERNAL ORDER OF POLICE LODGE 7,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
MA,2003,Democratic,MASSACHUSETTS DEMOCRATIC PARTY,MASSACHUSETTS CHIEFS OF POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MA,2004,Republican,MASSACHUSETTS REPUBLICAN PARTY,MASSACHUSETTS CHIEFS OF POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MA,2016,Democratic,CMTE FOR A DEMOCRATIC SENATE OF MASSACHUSETTS,NEW ENGLAND POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MA,2017,Democratic,CMTE FOR A DEMOCRATIC SENATE OF MASSACHUSETTS,NEW ENGLAND POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MD,2015,Democratic,MARYLAND DEMOCRATIC PARTY,PRINCE GEORGES COUNTY FRATERNAL ORDER OF POLICE LODGE 89,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
ME,2007,Democratic,SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE,MAINE ASSOCIATION OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
ME,2007,Democratic,HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE,MAINE ASSOCIATION OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MI,2005,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,POLICE OFFICERS ASSOCIATION OF MICHIGAN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MI,2006,Democratic,SENATE DEMOCRATIC FUND OF MICHIGAN,CHIEF PAC,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MI,2007,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF MICHIGAN,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NATIONAL TROOPERS COALITION,1,250
MN,2001,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS POLICE RELIEF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MN,2003,Republican,SENATE REPUBLICAN VICTORY FUND OF MINNESOTA,POLICE OFFICERS ALLIANCE OF MINNESOTA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MN,2005,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,POLICE OFFICERS FEDERATION OF MINNEAPOLIS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MN,2005,Republican,SENATE REPUBLICAN VICTORY FUND OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MN,2007,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNEAPOLIS RETIRED POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
MN,2009,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNESOTA PEACE & POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,POLICE & PEACE OFFICERS ASSOCIATION,1,250
MT,2009,Democratic,MONTANA DEMOCRATIC PARTY,ASSOCIATION OF MONTANA TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NH,2007,Democratic,CMTE TO ELECT HOUSE DEMOCRATS OF NEW HAMPSHIRE,NEW ENGLAND POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NV,2010,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,PEACE OFFICERS RESEARCH ASSOCIATION OF NEVADA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2000,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2000,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK CITY DETECTIVES ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2000,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2001,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2001,Republican,NEW YORK STATE REPUBLICAN PARTY,NEW YORK STATE ASSOCIATION OF CHIEFS OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2001,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,TRIBOROUGH BRIDGE & TUNNEL AUTHORITY SUPERIOR OFFICERS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2002,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2002,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF NEW YORK STATE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2003,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,TRIBOROUGH BRIDGE & TUNNEL AUTHORITY SUPERIOR OFFICERS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2003,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2003,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NYC POLICE CAPTAINS ENDOWMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2004,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2004,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2004,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2006,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,NASSAU COUNTY POLICE SUPERIOR OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2007,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,YONKERS POLICE CAPTAINS LIEUTENANTS & SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2007,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,NYS DEPUTIES ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2007,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2008,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,TRIBOROUGH BRIDGE & TUNNEL AUTHORITY SUPERIOR OFFICERS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,AMITYVILLE PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2009,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2009,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2009,Democratic,NEW YORK STATE DEMOCRATIC PARTY,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2009,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,BRIDGE & TUNNEL OFFICERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2009,Republican,REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK,TRIBOROUGH BRIDGE & TUNNEL AUTHORITY SUPERIOR OFFICERS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2009,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,ROCKVILLE CENTRE PBA INC,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2011,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU POLICE CONFERENCE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2012,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
NY,2014,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK POLICE & FIRE RETIREES ASSOCIATION,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,1,250
NY,2018,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE MEDIC ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
OH,2000,Democratic,OHIO SENATE DEMOCRATIC CAUCUS,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
OH,2005,Republican,REPUBLICAN SENATE CAMPAIGN CMTE OF OHIO,TROOPERS FOR A SAFER OHIO,Non-Individual,Police unions & associations,Public Sector Unions,Labor,TROOPERS FOR A SAFER OHIO,1,250
OH,2006,Republican,REPUBLICAN SENATE CAMPAIGN CMTE OF OHIO,BUCKEYE STATE SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
OH,2011,Democratic,OHIO DEMOCRATIC PARTY,FRATERNAL ORDER OF POLICE CAPITAL CITY LODGE 9,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
OH,2011,Democratic,OHIO SENATE DEMOCRATIC CAUCUS,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
OH,2015,Democratic,OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS,OHIO STATE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,FRATERNAL ORDER OF POLICE ASSOCIATES / FOP,1,250
PA,2005,Republican,SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
PA,2012,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
PA,2019,Republican,SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE LODGE FRATERNAL ORDER OF POLICE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2001,Republican,VIRGINIA REPUBLICAN PARTY,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2002,Democratic,VIRGINIA SENATE DEMOCRATIC CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2003,Democratic,VIRGINIA SENATE DEMOCRATIC CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2006,Republican,VIRGINIA REPUBLICAN PARTY,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2008,Republican,VIRGINIA SENATE REPUBLICAN LEADERSHIP TRUST,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2012,Democratic,COMMONWEALTH VICTORY FUND OF VIRGINIA,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2015,Democratic,VIRGINIA HOUSE DEMOCRATIC CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2016,Republican,VIRGINIA SENATE REPUBLICAN CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
VA,2018,Democratic,VIRGINIA HOUSE DEMOCRATIC CAUCUS,VIRGINIA SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
WI,2001,Democratic,ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN,MILWAUKEE DEPUTY SHERIFF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
WI,2001,Democratic,STATE SENATE DEMOCRATIC CMTE OF WISCONSIN,MILWAUKEE DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
WI,2003,Democratic,ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN,MILWAUKEE DEPUTY SHERIFF ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
WI,2005,Democratic,ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN,WISCONSIN PROFESSIONAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,PROFESSIONAL POLICE ASSOCIATION,1,250
WI,2005,Democratic,STATE SENATE DEMOCRATIC CMTE OF WISCONSIN,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
WI,2005,Democratic,STATE SENATE DEMOCRATIC CMTE OF WISCONSIN,WISCONSIN PROFESSIONAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,PROFESSIONAL POLICE ASSOCIATION,1,250
WI,2007,Democratic,ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN,MILWAUKEE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,250
